0, 0, -130
-20, 41, -130
-20, 41, -150
-85, 38, -150
-85, 38, -130
-95, 22, -130
-95, 22, -150
-10, 22, -150
-10, 22, -130
-51, 39, -130
-51, 39, -150
-51, 2, -150
-51, 2, -130
-57, 20, -130
-57, 20, -150
-70, 8, -150
-94, -3, -150
-94, -3, -130
-45, 20, -130
-45, 20, -150
-30, 8, -150
-10, -3, -150
-10, -3, -130
-80, -43, -130
-80, -43, -150
-80, -3, -150
-80, -3, -130
-80, -3, -130
-80, -3, -150
-24, -3, -150
-24, -43, -150
-24, -43, -130
-80, -20, -130
-80, -20, -150
-24, -20, -150
-24, -20, -130
-80, -38, -130
-80, -38, -150
-24, -38, -150
-24, -38, -130
5, 41, -130
5, 41, -150
15, 33, -150
15, 33, -130
1, 18, -130
1, 18, -150
12, 9, -150
12, 9, -130
3, -41, -130
3, -41, -150
10, -8, -150
10, -8, -130
25, 33, -130
25, 33, -150
82, 33, -150
82, 33, -130
40, 45, -130
40, 45, -150
40, 14, -150
40, 14, -130
66, 45, -130
66, 45, -150
66, 14, -150
66, 14, -130
20, 13, -130
20, 13, -150
85, 13, -150
85, 13, -130
40, 11, -130
40, 11, -150
32, 0, -150
19, -11, -150
19, -11, -130
66, 11, -130
66, 11, -150
85, -12, -150
85, -12, -130
34, -3, -130
34, -3, -150
68, -3, -150
68, -22, -150
68, -22, -130
34, -20, -130
34, -20, -150
68, -20, -150
68, -20, -130
34, -3, -130
34, -3, -150
34, -31, -150
40, -40, -150
72, -40, -150
80, -30, -150
81, -25, -150
81, -25, -130
